"Year","Canton","Sex","Age","Acquisition of Swiss citizenship"
"2011","Luzern","Male","63 years",4
"2011","Luzern","Male","64 years",3
"2011","Luzern","Male","65 years",3
"2011","Luzern","Male","66 years",0
"2011","Luzern","Male","67 years",0
"2011","Luzern","Male","68 years",0
"2011","Luzern","Male","69 years",2
"2011","Luzern","Male","70 years",1
"2011","Luzern","Male","71 years",0
"2011","Luzern","Male","72 years",0
"2011","Luzern","Male","73 years",0
"2011","Luzern","Male","74 years",2
"2011","Luzern","Male","75 years",2
"2011","Luzern","Male","76 years",1
"2011","Luzern","Male","77 years",1
"2011","Luzern","Male","78 years",0
"2011","Luzern","Male","79 years",0
"2011","Luzern","Male","80 years",0
"2011","Luzern","Male","81 years",0
"2011","Luzern","Male","82 years",0
"2011","Luzern","Male","83 years",1
"2011","Luzern","Male","84 years",0
"2011","Luzern","Male","85 years",0
"2011","Luzern","Male","86 years",0
"2011","Luzern","Male","87 years",0
"2011","Luzern","Male","88 years",0
"2011","Luzern","Male","89 years",0
"2011","Luzern","Male","90 years",0
"2011","Luzern","Male","91 years",0
"2011","Luzern","Male","92 years",0
"2011","Luzern","Male","93 years",0
"2011","Luzern","Male","94 years",0
"2011","Luzern","Male","95 years",0
"2011","Luzern","Male","96 years",0
"2011","Luzern","Male","97 years",0
"2011","Luzern","Male","98 years",0
"2011","Luzern","Male","99 years",0
"2011","Luzern","Male","100 years or older",0
"2011","Luzern","Female","0 years",2
"2011","Luzern","Female","1 year",11
"2011","Luzern","Female","2 years",14
"2011","Luzern","Female","3 years",14
"2011","Luzern","Female","4 years",9
"2011","Luzern","Female","5 years",17
"2011","Luzern","Female","6 years",9
"2011","Luzern","Female","7 years",16
"2011","Luzern","Female","8 years",10
"2011","Luzern","Female","9 years",14
"2011","Luzern","Female","10 years",14
"2011","Luzern","Female","11 years",16
"2011","Luzern","Female","12 years",21
"2011","Luzern","Female","13 years",34
"2011","Luzern","Female","14 years",23
"2011","Luzern","Female","15 years",27
"2011","Luzern","Female","16 years",32
"2011","Luzern","Female","17 years",24
"2011","Luzern","Female","18 years",31
"2011","Luzern","Female","19 years",33
"2011","Luzern","Female","20 years",22
"2011","Luzern","Female","21 years",27
"2011","Luzern","Female","22 years",25
"2011","Luzern","Female","23 years",10
"2011","Luzern","Female","24 years",17
"2011","Luzern","Female","25 years",12
"2011","Luzern","Female","26 years",14
"2011","Luzern","Female","27 years",14
"2011","Luzern","Female","28 years",24
"2011","Luzern","Female","29 years",17
"2011","Luzern","Female","30 years",13
"2011","Luzern","Female","31 years",13
"2011","Luzern","Female","32 years",24
"2011","Luzern","Female","33 years",20
"2011","Luzern","Female","34 years",20
"2011","Luzern","Female","35 years",24
"2011","Luzern","Female","36 years",34
"2011","Luzern","Female","37 years",25
"2011","Luzern","Female","38 years",26
"2011","Luzern","Female","39 years",26
"2011","Luzern","Female","40 years",15
"2011","Luzern","Female","41 years",10
"2011","Luzern","Female","42 years",24
"2011","Luzern","Female","43 years",21
"2011","Luzern","Female","44 years",20
"2011","Luzern","Female","45 years",14
"2011","Luzern","Female","46 years",8
"2011","Luzern","Female","47 years",17
"2011","Luzern","Female","48 years",18
"2011","Luzern","Female","49 years",11
"2011","Luzern","Female","50 years",4
"2011","Luzern","Female","51 years",8
