Year,Canton,Age Group,Net Migration
2013,Graubünden / Grigioni / Grischun,10-19,214
2013,Graubünden / Grigioni / Grischun,20-29,805
2013,Graubünden / Grigioni / Grischun,30-39,568
2013,Graubünden / Grigioni / Grischun,40-49,410
2013,Graubünden / Grigioni / Grischun,50-59,216
2013,Graubünden / Grigioni / Grischun,60-69,10
2013,Graubünden / Grigioni / Grischun,70-79,50
2013,Graubünden / Grigioni / Grischun,80-89,19
2013,Graubünden / Grigioni / Grischun,90-99,5
2013,Graubünden / Grigioni / Grischun,100-109,0
2013,Jura,0-9,124
2013,Jura,10-19,52
2013,Jura,20-29,200
2013,Jura,30-39,145
2013,Jura,40-49,107
2013,Jura,50-59,53
2013,Jura,60-69,9
2013,Jura,70-79,1
2013,Jura,80-89,-2
2013,Jura,90-99,-1
2013,Jura,100-109,0
2013,Luzern,0-9,288
2013,Luzern,10-19,483
2013,Luzern,20-29,1083
2013,Luzern,30-39,660
2013,Luzern,40-49,339
2013,Luzern,50-59,42
2013,Luzern,60-69,-69
2013,Luzern,70-79,-7
2013,Luzern,80-89,-21
2013,Luzern,90-99,-4
2013,Luzern,100-109,0
2013,Neuchâtel,0-9,319
2013,Neuchâtel,10-19,347
2013,Neuchâtel,20-29,812
2013,Neuchâtel,30-39,804
2013,Neuchâtel,40-49,379
2013,Neuchâtel,50-59,141
2013,Neuchâtel,60-69,-54
2013,Neuchâtel,70-79,-4
2013,Neuchâtel,80-89,8
2013,Neuchâtel,90-99,3
2013,Neuchâtel,100-109,-1
2013,Nidwalden,0-9,21
2013,Nidwalden,10-19,11
2013,Nidwalden,20-29,101
2013,Nidwalden,30-39,97
2013,Nidwalden,40-49,57
2013,Nidwalden,50-59,35
2013,Nidwalden,60-69,0
2013,Nidwalden,70-79,-5
2013,Nidwalden,80-89,4
2013,Nidwalden,90-99,1
2013,Nidwalden,100-109,0
2013,Obwalden,0-9,26
2013,Obwalden,10-19,12
2013,Obwalden,20-29,114
2013,Obwalden,30-39,58
2013,Obwalden,40-49,52
2013,Obwalden,50-59,23
2013,Obwalden,60-69,-2
2013,Obwalden,70-79,8
2013,Obwalden,80-89,-1
2013,Obwalden,90-99,0
2013,Obwalden,100-109,0
2013,Schaffhausen,0-9,111
2013,Schaffhausen,10-19,104
2013,Schaffhausen,20-29,307
2013,Schaffhausen,30-39,209
2013,Schaffhausen,40-49,137
2013,Schaffhausen,50-59,63
2013,Schaffhausen,60-69,15
2013,Schaffhausen,70-79,7
2013,Schaffhausen,80-89,8
2013,Schaffhausen,90-99,5
2013,Schaffhausen,100-109,0
2013,Schwyz,0-9,80
2013,Schwyz,10-19,59
2013,Schwyz,20-29,366
2013,Schwyz,30-39,283
2013,Schwyz,40-49,118
2013,Schwyz,50-59,48
2013,Schwyz,60-69,-52
2013,Schwyz,70-79,-1
2013,Schwyz,80-89,3
2013,Schwyz,90-99,-2
2013,Schwyz,100-109,0
2013,Solothurn,0-9,227
2013,Solothurn,10-19,187
2013,Solothurn,20-29,640
2013,Solothurn,30-39,466
2013,Solothurn,40-49,290
2013,Solothurn,50-59,82
2013,Solothurn,60-69,-27
2013,Solothurn,70-79,8
2013,Solothurn,80-89,-3
2013,Solothurn,90-99,-2
2013,Solothurn,100-109,0
2013,St. Gallen,0-9,374
2013,St. Gallen,10-19,485
2013,St. Gallen,20-29,1589
2013,St. Gallen,30-39,1130
2013,St. Gallen,40-49,579
2013,St. Gallen,50-59,80
2013,St. Gallen,60-69,-136
2013,St. Gallen,70-79,-26
2013,St. Gallen,80-89,-19
2013,St. Gallen,90-99,1
2013,St. Gallen,100-109,0
2013,Thurgau,0-9,254
2013,Thurgau,10-19,263
2013,Thurgau,20-29,904
2013,Thurgau,30-39,663
2013,Thurgau,40-49,439
2013,Thurgau,50-59,34
2013,Thurgau,60-69,-67
2013,Thurgau,70-79,-18
2013,Thurgau,80-89,-2
2013,Thurgau,90-99,-1
2013,Thurgau,100-109,0
2013,Ticino,0-9,699
2013,Ticino,10-19,637
2013,Ticino,20-29,1130
2013,Ticino,30-39,1213
2013,Ticino,40-49,1018
2013,Ticino,50-59,487
2013,Ticino,60-69,113
2013,Ticino,70-79,83
2013,Ticino,80-89,16
2013,Ticino,90-99,0
2013,Ticino,100-109,1
2013,Uri,0-9,33
2013,Uri,10-19,20
2013,Uri,20-29,96
2013,Uri,30-39,57
2013,Uri,40-49,54
2013,Uri,50-59,24
2013,Uri,60-69,-17
2013,Uri,70-79,-2
2013,Uri,80-89,0
2013,Uri,90-99,0
2013,Uri,100-109,0
2013,Valais / Wallis,0-9,516
2013,Valais / Wallis,10-19,867
2013,Valais / Wallis,20-29,1096
2013,Valais / Wallis,30-39,1051
2013,Valais / Wallis,40-49,675
2013,Valais / Wallis,50-59,299
2013,Valais / Wallis,60-69,49
2013,Valais / Wallis,70-79,79
2013,Valais / Wallis,80-89,26
2013,Valais / Wallis,90-99,11
2013,Valais / Wallis,100-109,0
2013,Vaud,0-9,1417
2013,Vaud,10-19,2651
2013,Vaud,20-29,3702
