Year,Canton,Age Group,marriages
1984,Bern / Berne,70-79,0
1984,Bern / Berne,80-89,0
1984,Fribourg / Freiburg,10-19,2
1984,Fribourg / Freiburg,20-29,696
1984,Fribourg / Freiburg,30-39,88
1984,Fribourg / Freiburg,40-49,18
1984,Fribourg / Freiburg,50-59,4
1984,Fribourg / Freiburg,60-69,1
1984,Fribourg / Freiburg,70-79,0
1984,Fribourg / Freiburg,80-89,0
1984,Genève,10-19,1
1984,Genève,20-29,888
1984,Genève,30-39,298
1984,Genève,40-49,65
1984,Genève,50-59,19
1984,Genève,60-69,4
1984,Genève,70-79,3
1984,Genève,80-89,0
1984,Glarus,10-19,0
1984,Glarus,20-29,125
1984,Glarus,30-39,14
1984,Glarus,40-49,4
1984,Glarus,50-59,1
1984,Glarus,60-69,0
1984,Glarus,70-79,0
1984,Glarus,80-89,0
1984,Graubünden / Grigioni / Grischun,10-19,0
1984,Graubünden / Grigioni / Grischun,20-29,605
1984,Graubünden / Grigioni / Grischun,30-39,92
1984,Graubünden / Grigioni / Grischun,40-49,12
1984,Graubünden / Grigioni / Grischun,50-59,7
1984,Graubünden / Grigioni / Grischun,60-69,1
1984,Graubünden / Grigioni / Grischun,70-79,0
1984,Graubünden / Grigioni / Grischun,80-89,0
1984,Jura,10-19,1
1984,Jura,20-29,211
1984,Jura,30-39,28
1984,Jura,40-49,3
1984,Jura,50-59,2
1984,Jura,60-69,1
1984,Jura,70-79,1
1984,Jura,80-89,0
1984,Luzern,10-19,4
1984,Luzern,20-29,998
1984,Luzern,30-39,165
1984,Luzern,40-49,24
1984,Luzern,50-59,8
1984,Luzern,60-69,3
1984,Luzern,70-79,1
1984,Luzern,80-89,0
1984,Neuchâtel,10-19,1
1984,Neuchâtel,20-29,477
1984,Neuchâtel,30-39,80
1984,Neuchâtel,40-49,6
1984,Neuchâtel,50-59,8
1984,Neuchâtel,60-69,0
1984,Neuchâtel,70-79,1
1984,Neuchâtel,80-89,1
1984,Nidwalden,10-19,0
1984,Nidwalden,20-29,106
1984,Nidwalden,30-39,28
1984,Nidwalden,40-49,3
1984,Nidwalden,50-59,1
1984,Nidwalden,60-69,0
1984,Nidwalden,70-79,0
1984,Nidwalden,80-89,0
1984,Obwalden,10-19,1
1984,Obwalden,20-29,110
1984,Obwalden,30-39,12
1984,Obwalden,40-49,2
1984,Obwalden,50-59,0
1984,Obwalden,60-69,0
1984,Obwalden,70-79,0
1984,Obwalden,80-89,0
1984,Schaffhausen,10-19,1
1984,Schaffhausen,20-29,220
1984,Schaffhausen,30-39,26
1984,Schaffhausen,40-49,6
1984,Schaffhausen,50-59,6
1984,Schaffhausen,60-69,0
1984,Schaffhausen,70-79,0
1984,Schaffhausen,80-89,0
